Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	max_abs_r	module_type	selected
ME_M1572	0.006476991359737415	0.9145412454261418	0.1258441416886587	0.03632044833349215	0.010223144357381083	0.8654961432180773	0.1258441416886587	CT	True
ME_M396	-0.12570875150972663	0.03652344566469633	0.08586902765617518	0.15406568716088603	-0.09371298962237928	0.1196918712145031	0.12570875150972663	CT	True
ME_M91	0.12492972055322638	0.03771025890716483	-0.07693770535978822	0.201743084143268	0.04458036211298248	0.4599207266070156	0.12492972055322638	CT	True
ME_M644	0.05118174299957601	0.3961382841826792	-0.10606577426529112	0.07802236191284277	0.12484340133177665	0.037843747720520855	0.12484340133177665	CT	True
ME_M1198	0.12363345135780626	0.039757348315583696	-0.0996378057120508	0.0979396563627168	-0.0015197720774992353	0.9799116429788812	0.12363345135780626	CT	True
ME_M1823	-0.03815271122382008	0.5271604773462055	0.09222245725604115	0.12571710378554032	-0.1231895743470642	0.04047954380197117	0.1231895743470642	CT	True
ME_M189	0.12306584852503667	0.04068280821582748	-0.07293143467583138	0.2263003996183655	0.036250576231398726	0.5479738274240483	0.12306584852503667	CT	True
ME_M1592	0.12251732986567837	0.041594340934610244	-0.02319120303052112	0.7007673521995146	-0.035065707358058515	0.5611398062734614	0.12251732986567837	CT	True
ME_M1582	-0.12243931991518281	0.04172536485193694	0.04947419096731868	0.41210578544569787	-0.03766226126007663	0.5324884080358397	0.12243931991518281	TS	True
ME_M59	-0.01475868147044979	0.806815746327644	-0.00475549409397545	0.9371998692927798	-0.1224064988871019	0.04178059414071194	0.1224064988871019	CT	True
ME_M1046	0.12100024765254176	0.04420542443816481	-0.09087024171807062	0.1313841370405747	0.04274938585698823	0.47857385290374665	0.12100024765254176	TS	True
ME_M2198	0.1147339491351667	0.05649194935663502	-0.1209647680020777	0.04426809926863282	0.07406014913337797	0.21917653718248176	0.1209647680020777	CT	True
ME_M1196	0.12056525808024648	0.04497899670091266	-0.08578394781454986	0.15447565116120224	0.04334575966662012	0.472453537943988	0.12056525808024648	CT	True
ME_M1640	0.1186909204564621	0.048443300973194416	-0.09360843297733412	0.12010704963872054	0.0859391371778441	0.153728477327904	0.1186909204564621	CT	True
ME_M1314	0.06850462968427767	0.2558210383128642	-0.11834912412965097	0.049098470917969934	0.10307936048622299	0.08682504388466519	0.11834912412965097	CT	True
