cluster_id	unique_genes	tissues	cluster_size	original_cluster_type	dominant_tissue	max_tissue_fraction	is_tissue_specific_095	cluster_tissue_class_095	VH	SMA	QUAD	frac_VH	frac_SMA	frac_QUAD	n_kinase	frac_kinase	n_GPCR	frac_GPCR	n_ion_channel	frac_ion_channel	n_nuclear_receptor	frac_nuclear_receptor	n_transporter	frac_transporter	n_enzyme	frac_enzyme	n_receptor	frac_receptor	n_transcription_factor	frac_transcription_factor	n_known_drug_target	frac_known_drug_target	n_Alzheimer_evidence	frac_Alzheimer_evidence	n_any_therapeutic_category	frac_any_therapeutic_category	target_category_score	representative_target_genes	target_rank
1305	4	VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	4	1.0	4	1.0	5	UQCRB(enzyme;Alzheimer_evidence);RPL26(Alzheimer_evidence);NPM1(Alzheimer_evidence);RPL36A(Alzheimer_evidence)	836
1752	4	SMA;VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	1	0.25	1	0.25	2	0.5	4	1.0	5	HSPA1A(known_drug_target;Alzheimer_evidence);DNAJC3(Alzheimer_evidence);PGM2(enzyme);ZNF28(transcription_factor)	837
1865	5	QUAD;SMA;VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.2	0	0.0	0	0.0	0	0.0	4	0.8	4	0.8	5	PABPC4(Alzheimer_evidence);NAA20(enzyme;Alzheimer_evidence);DNALI1(Alzheimer_evidence);MRPL24(Alzheimer_evidence)	838
2137	4	QUAD;VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	4	1.0	4	1.0	5	TLN1(Alzheimer_evidence);NT5C3B(enzyme;Alzheimer_evidence);GIT1(Alzheimer_evidence);TCOF1(Alzheimer_evidence)	839
2141	6	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	0.3333333333333333	0	0.0	3	0.5	4	0.6666666666666666	5	ATN1(Alzheimer_evidence);ZNF862(transcription_factor;Alzheimer_evidence);POLE(Alzheimer_evidence);PRDM15(transcription_factor)	840
2217	6	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.1666666666666666	0	0.0	0	0.0	0	0.0	4	0.6666666666666666	4	0.6666666666666666	5	NHP2(Alzheimer_evidence);DEPTOR(Alzheimer_evidence);PSMB4(enzyme;Alzheimer_evidence);SURF4(Alzheimer_evidence)	841
2290	5	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	0.4	0	0.0	3	0.6	4	0.8	5	PEX13(Alzheimer_evidence);CCDC3(Alzheimer_evidence);MYNN(transcription_factor;Alzheimer_evidence);ZBTB6(transcription_factor)	842
2315	5	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	1	0.2	0	0.0	0	0.0	0	0.0	1	0.2	3	0.6	4	0.8	5	ANKRD34A(Alzheimer_evidence);NIF3L1(Alzheimer_evidence);COL10A1(Alzheimer_evidence);SLC25A15(transporter;known_drug_target)	843
2319	5	QUAD;VH													1	0.2	0	0.0	0	0.0	0	0.0	0	0.0	1	0.2	0	0.0	1	0.2	0	0.0	2	0.4	4	0.8	5	ELMOD2(Alzheimer_evidence);MTERF1(Alzheimer_evidence);AKAP3(kinase;enzyme);ZNF180(transcription_factor)	844
2617	4	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	1	0.25	0	0.0	3	0.75	4	1.0	5	BNIP1(Alzheimer_evidence);COX7A2L(enzyme;Alzheimer_evidence);RNF181(Alzheimer_evidence);ATF7IP2(transcription_factor)	845
2726	4	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	4	1.0	4	1.0	5	NOL7(Alzheimer_evidence);LDOC1(Alzheimer_evidence);NDUFV3(enzyme;Alzheimer_evidence);SNAPC5(Alzheimer_evidence)	846
2780	4	QUAD													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	4	1.0	4	1.0	5	BAG6(Alzheimer_evidence);PBX1(transcription_factor;Alzheimer_evidence);ARHGEF12(Alzheimer_evidence);KIAA0232(Alzheimer_evidence)	847
2830	6	SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.1666666666666666	0	0.0	0	0.0	0	0.0	4	0.6666666666666666	4	0.6666666666666666	5	NDUFS8(enzyme;Alzheimer_evidence);EFHD2(Alzheimer_evidence);PRRT2(Alzheimer_evidence);BCL7B(Alzheimer_evidence)	848
2886	4	SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	0.5	0	0.0	0	0.0	0	0.0	3	0.75	4	1.0	5	LAMP1(Alzheimer_evidence);GNB2(Alzheimer_evidence);AKR7A2(enzyme;Alzheimer_evidence);PYCR2(enzyme)	849
2973	5	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.2	0	0.0	0	0.0	4	0.8	4	0.8	5	CUL4B(Alzheimer_evidence);EPC1(Alzheimer_evidence);SYT5(Alzheimer_evidence);KDELR1(receptor;Alzheimer_evidence)	850
3172	6	SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.1666666666666666	0	0.0	4	0.6666666666666666	4	0.6666666666666666	5	SREBF1(transcription_factor;Alzheimer_evidence);MUTYH(Alzheimer_evidence);PLXNB3(Alzheimer_evidence);HIP1R(Alzheimer_evidence)	851
3445	4	SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	4	1.0	4	1.0	5	DVL2(Alzheimer_evidence);UNC45A(Alzheimer_evidence);LRSAM1(enzyme;Alzheimer_evidence);ABTB1(Alzheimer_evidence)	852
3495	4	QUAD													0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	3	0.75	4	1.0	5	CAND2(Alzheimer_evidence);RBM38(Alzheimer_evidence);DUSP3(enzyme;Alzheimer_evidence);TRPT1(ion_channel)	853
3497	5	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.2	0	0.0	0	0.0	0	0.0	4	0.8	4	0.8	5	DYNLRB1(Alzheimer_evidence);SLAIN1(Alzheimer_evidence);PTP4A2(enzyme;Alzheimer_evidence);CDH19(Alzheimer_evidence)	854
