Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	selected
ME_M433	-0.06825560544983028	0.4827425770044912	-0.09205162453910216	0.34337861092785965	-0.11578689390010008	0.23274825616506	0.09501639926313722	0.3279929266076244	-0.10438019759803684	0.28234414415328996	0.11578689390010008	433	CT	False
ME_M435	-0.04102245896235451	0.6733646698023337	-0.00210088077595842	0.9827838153251497	0.03181030349116913	0.7438052532929741	-0.03722443670711567	0.7021061942868146	0.07172221604841705	0.46073524126030274	0.07172221604841705	435	CT	False
ME_M436	-0.05600307445723804	0.5648309264501767	-0.09185479409388259	0.3444158965379081	-0.026123453907555716	0.7884147800441643	-0.05965035957951245	0.5397190955263792	0.05236595081397493	0.5904113697550353	0.09185479409388259	436	CT	False
ME_M442	0.12203306812693566	0.20833534232109502	0.09138358156420756	0.34690715834091373	0.09531209163475453	0.32648299470389636	-0.06258852668611688	0.5198985651219044	0.12927521558302427	0.18238829910611115	0.12927521558302427	442	CT	False
ME_M447	-0.1307803426810298	0.17730600912949512	-0.03546472388832518	0.7155695964174437	-0.05144548831157213	0.596967499141536	0.04591622998319857	0.6370181773374441	-0.14863349428252062	0.1247318561293165	0.14863349428252062	447	CT	False
ME_M450	0.10281463464191662	0.28966490210597506	0.06727276416235924	0.48908288120209115	0.06155601673181878	0.5268213516397735	-0.057952418092551	0.5513407641965972	0.03129057351498517	0.7478496591585629	0.10281463464191662	450	CT	True
ME_M452	-0.17260204696121983	0.07405185708525201	-0.05667679712536999	0.5601508643960893	-0.09757244145839465	0.31508807861055105	0.06552689317178784	0.5004536326568831	-0.1475932006159234	0.12742208671421287	0.17260204696121983	452	CT	False
ME_M456	0.09941239633687343	0.30600504012184376	-0.010363210567120917	0.9152274641412249	0.09957619038950198	0.3052048407512955	-0.04322431455089357	0.6569117449841647	0.0695711751619284	0.47432521439346104	0.09957619038950198	456	CT	False
ME_M457	0.03865992684660734	0.691191010250333	0.09704377314880673	0.31772984706229496	0.1894674633043918	0.04953947296641158	-0.04555689669973133	0.639659223431611	0.02006676233346538	0.8366862014338536	0.1894674633043918	457	CT	False
ME_M461	-0.037695704266949216	0.6985159543630066	-0.0034212137160631283	0.9719675645432129	0.08841914853607183	0.36283811479071915	0.05602766306366987	0.5646597945020982	-0.12555669172754663	0.19539935333291208	0.12555669172754663	461	CT	False
ME_M462	-0.018090173108586384	0.8525810546473833	-0.05019879263266863	0.6058989364310715	-0.1827029278538235	0.058414610792261096	0.02925841829716661	0.7637281944704964	-0.08455616967643922	0.38426325996845734	0.1827029278538235	462	CT	False
ME_M463	0.007774496610923217	0.9363517904464742	0.010670003038428012	0.912727605668687	0.051362414971223694	0.5975608041728938	-0.04215398405330333	0.6648897135792166	-0.041776334779688944	0.6677136258660333	0.051362414971223694	463	CT	False
ME_M468	-0.008970678463225249	0.9265843647815998	-0.012142278348540904	0.900743228954193	-0.10971191512738024	0.2583462759524373	0.1016363852067861	0.2952569072783903	-0.007789885549933692	0.9362260689144543	0.10971191512738024	468	CT	False
ME_M469	-0.09437333411507444	0.33129208370950836	-0.061132891611898076	0.5296716663211753	-0.08926896382043553	0.3582256860495986	0.11755818041036914	0.2256306567321112	-0.07526305309748954	0.43883962177318564	0.11755818041036914	469	CT	False
ME_M470	0.06182023920427938	0.5250453827206859	-0.04794692026124833	0.6221789891273872	0.032490626586582	0.7385216792741743	-0.09115498841904593	0.348119773940013	0.017653576209810735	0.856100179528609	0.09115498841904593	470	CT	False
ME_M474	-0.018203346046256917	0.8516693098879897	-0.04003073564361953	0.68082634380894	0.11808427384449449	0.2235464655520167	-0.07425754737299367	0.44499674662613975	0.05859509971934664	0.5469276569259748	0.11808427384449449	474	CT	False
ME_M484	-0.00819918613101003	0.9328828303068655	0.158797688711304	0.10069270493960536	-0.01705028193887904	0.8609675751367614	-0.19999100857140356	0.03796827226929374	0.016362670806358476	0.8665215861756729	0.19999100857140356	484	CT	False
ME_M486	-0.026888662091195503	0.7823686796725399	-0.11522418315179306	0.23504192282652298	-0.05240533221050853	0.5901316003183569	0.15794798680774547	0.10255127626246473	-0.042389696913772236	0.6631295156297673	0.15794798680774547	486	CT	False
ME_M487	-0.005654888030414186	0.9536817577530423	0.11871451108453246	0.2210676118099276	0.0018040759484955274	0.9852157585557285	-0.1969823257925861	0.04101818489098223	0.07276623365028735	0.45421746469012636	0.1969823257925861	487	CT	False
ME_M488	-0.010053504350145761	0.9177519034393967	0.10795839695862935	0.26607988100281593	-0.013746936793907996	0.8877066952885097	-0.25168332831824564	0.008599604979370288	0.06894356301225976	0.47833089512022453	0.25168332831824564	488	CT	False
ME_M489	0.03565478568452859	0.714111155241436	-0.1596516947901661	0.09885148458758039	-0.09584466169173216	0.32377471398049945	0.10834311735944668	0.2643698287951664	0.011994545705718632	0.9019448173758473	0.1596516947901661	489	CT	False
ME_M492	-0.013977592110916356	0.885835185849227	-0.007251737976466017	0.9406234303876002	-0.11928379313752095	0.21884525969962368	0.10926864001388385	0.26028660244564333	-0.0006237468178977232	0.9948881965804117	0.11928379313752095	492	CT	False
ME_M494	-0.017332206563178902	0.8586923396035425	0.051937659996854076	0.5934578700439929	0.1595918891635868	0.09897955552866412	-0.053020562315909694	0.5857687810534516	0.026868925056057202	0.7825244658750469	0.1595918891635868	494	CT	False
ME_M495	-0.055110192311533315	0.5710618117467329	-0.035270914127056824	0.7170578521292233	0.14367458985870032	0.1379564804083275	0.005329658303655908	0.9563429578360068	-0.022234229938053386	0.8193318596906924	0.14367458985870032	495	CT	False
ME_M54	-0.10447438613089624	0.28190768686898654	0.010447696725740765	0.9145389561665175	0.0491069720850841	0.6137688953913588	-0.014475839146332157	0.8817946247059704	-0.15763815660975186	0.1032356291308155	0.15763815660975186	54	CT	False
ME_M56	0.09965155247721258	0.3048371269508958	0.05733557041812698	0.5555926415174811	0.061142322383038336	0.5296080533445385	0.053645689662343045	0.5813509541737585	0.12799679176205334	0.186788053479999	0.12799679176205334	56	CT	False
ME_M60	-0.0970632038928511	0.3176324985818611	-0.032383400726113745	0.7393536240254124	-0.07857309273182136	0.41891522085811805	-0.015351144603741967	0.8747036882628747	-0.16919692133594014	0.08002691287236338	0.16919692133594014	60	CT	False
ME_M68	0.01228158977257382	0.8996103401243286	-0.046716199865747085	0.6311548539189061	-0.007441596224645679	0.9390718324345272	0.054123142474143064	0.5779871386517329	0.09881760530694055	0.3089223506680643	0.09881760530694055	68	CT	False
ME_M682	0.027374648785158693	0.7785354715910243	0.09813868540089954	0.3122743709875661	0.013629548405911268	0.8886594082130779	-0.06858334877185489	0.4806381363136682	0.01633673607038124	0.8667311966322908	0.09813868540089954	682	CT	True
ME_M691	0.06638474439007486	0.4948492939498775	0.08365912377017584	0.3893455413485796	0.06512356775598722	0.5030999762107056	-0.014943388765075545	0.8780057600441995	0.03919253551744899	0.6871570542185073	0.08365912377017584	691	CT	True
ME_M693	0.028038829731240764	0.7733053554132098	0.10100164588909658	0.2982987451919685	0.03498971551185023	0.7192190454514935	-0.01566697290767896	0.8721475346066396	0.04086649906084442	0.6745360289411928	0.10100164588909658	693	CT	True
ME_M724	0.05430522447352304	0.5767066916950562	-0.11553975303113005	0.23375369254897896	0.06484514340691595	0.5049310479004101	-0.0012444320019697186	0.9898016891971881	0.032912760440329786	0.7352493644583246	0.11553975303113005	724	CT	True
ME_M728	-0.04446546888918281	0.6477085882667466	-0.029514399120552585	0.7617224964090067	-0.015643352175279738	0.8723386636115503	0.01747541694420752	0.8575370208136257	-0.0030637588233933585	0.9748954379810982	0.04446546888918281	728	CT	True
ME_M729	-0.0023590817687607797	0.9806683095787806	0.013815148883606757	0.8871531658663914	-0.018552781283929627	0.8488554249773006	0.02207618939187052	0.8205944120318986	0.034791978184645425	0.7207401123047045	0.034791978184645425	729	CT	True
ME_M732	-0.0933546612397373	0.33656137794143204	-0.055060056866178486	0.5714126308845991	0.0491836630271714	0.6132146498667185	0.03704897138228425	0.703444616252365	-0.125331973789892	0.19620659456393066	0.125331973789892	732	CT	False
ME_M733	0.08324517717071495	0.3917043170694536	0.04836711856660546	0.6191269575585687	0.03590482416159091	0.7121940501570326	-0.02747097502068239	0.7777763278390774	0.08321918073335273	0.3918527362685364	0.08324517717071495	733	CT	False
ME_M734	-0.11199848573606103	0.248494530572409	-0.08340133507996977	0.3908134862082903	-0.054201317691116566	0.5774372291295207	-0.005035865170612943	0.9587473405086567	-0.09120388750680188	0.34786015640544904	0.11199848573606103	734	CT	False
ME_M738	-0.09017449635185354	0.35335105866071626	0.07054156500552207	0.46816771074153807	-0.03249908166165604	0.7384560907999674	-0.02946027956713827	0.7621464107653088	-0.058333781058823454	0.5487199747731867	0.09017449635185354	738	CT	True
ME_M739	0.017980381636366522	0.8534657432242135	0.09966420751597135	0.30477540772733197	0.008096654877238523	0.933720216225846	-0.017018058320230865	0.8612277044207497	0.035497603649340556	0.7153172198416676	0.09966420751597135	739	CT	False
ME_M740	0.017108508274231837	0.8604975733185336	0.01742253748000825	0.857963579563211	0.056172279602776896	0.5636537892849496	-0.0002092240796134695	0.9982853319072507	-0.00721727713648003	0.9409050822246542	0.056172279602776896	740	CT	True
ME_M745	-0.13896397654259524	0.15148072827374578	0.015831972028477324	0.8708126371140315	-0.14694753647473527	0.12911403560728435	0.10268874060840966	0.2902590214660941	-0.11420220906183863	0.2392478354987949	0.14694753647473527	745	CT	True
ME_M746	0.04489242935055661	0.6445548179703955	0.08246946847252107	0.39614746085476965	-0.12176912003950237	0.2093284211317109	0.021915113604430145	0.8218816839632489	0.06749750532022537	0.4876291890494241	0.12176912003950237	746	CT	True
ME_M747	-0.03682988831648199	0.7051170195019968	0.10370246959652826	0.285497959481343	-0.12719416239263753	0.18958954154333024	0.07011846535641046	0.470847063906008	0.028386825778787116	0.7705690776715929	0.12719416239263753	747	CT	False
ME_M750	-0.03384226361549364	0.7280607529703844	0.12570483784089284	0.1948684911266518	-0.16037109583139086	0.0973211187242664	0.05002562327557973	0.6071441860994535	0.03484921471594456	0.7202997159260762	0.16037109583139086	750	CT	True
ME_M751	0.026935784081401123	0.7819967763492013	0.09654387407213909	0.32024097929427287	-0.16082250221518749	0.09637042517572031	0.10752408616613537	0.2680193593857344	0.047097508777373134	0.6283680800712957	0.16082250221518749	751	CT	True
ME_M752	-0.05129701971272951	0.5980280391066191	0.015561570386517079	0.873000464040451	-0.15876604307165387	0.10076144644882327	0.08873037457956089	0.3611446786326869	-0.007750263413062366	0.9365497692379414	0.15876604307165387	752	CT	True
ME_M755	0.09571363674079915	0.3244396736679191	-0.07042328188702125	0.46891592011023414	-0.04333244410627358	0.6561078959174775	0.07185178370228738	0.45992356254715616	0.04666040647180095	0.6315630517779147	0.09571363674079915	755	CT	False
ME_M757	0.050390630377057745	0.604520760808186	0.005509522283212996	0.9548711553186893	-0.19067883057343302	0.048074383111411566	0.04386271137191484	0.652171515440445	0.04791624720486701	0.6224020289225275	0.19067883057343302	757	CT	True
ME_M763	0.1251637958004737	0.1968123044474638	0.15459189327273057	0.11015628853642126	-0.12521030024880428	0.1966446791652888	0.01559969917585993	0.8726919045996974	0.13641378942537727	0.15920580612206378	0.15459189327273057	763	CT	True
ME_M768	-0.08086293683746235	0.4054443045153905	-0.09399711932712668	0.3332319749205854	0.1341321152038646	0.16636323019142987	-0.01905921340325696	0.8447806732334169	-0.01862775754745206	0.8482519122773131	0.1341321152038646	768	CT	False
ME_M771	0.06280089997536312	0.5184803990931877	0.1063598715773868	0.27326547617269614	-0.10659702327227048	0.27219126284081346	0.04233832871395016	0.6635129545296743	0.08606322548902516	0.37581552245387007	0.10659702327227048	771	CT	True
ME_M772	0.01078710501648885	0.9117736385531025	0.134800033137643	0.16424377510520083	-0.14471143910643172	0.13510682105827893	0.04799897094918276	0.6218005796663821	0.058203313666134154	0.5496158857013942	0.14471143910643172	772	CT	True
ME_M787	0.11861060225089864	0.22147496396262298	0.14603150647799068	0.1315439203258123	-0.03163591940584007	0.7451614954346362	-0.03871548455965223	0.6907698121067609	0.15206262424589692	0.11617252218145492	0.15206262424589692	787	CT	False
ME_M788	0.09086712911747574	0.3496505515323031	0.20618807461477806	0.03228237498127013	-0.01971312939649149	0.8395253313171249	-0.04567327769702803	0.6388033453335195	0.11982019867488528	0.21676576747880508	0.20618807461477806	788	CT	False
ME_M792	-0.07973324687586839	0.41205798792282367	-0.11666249218933228	0.22921043700720384	0.07323971864622669	0.45127848482310406	0.030707090625200387	0.7523983342319869	-0.15009715725691408	0.12102098149371711	0.15009715725691408	792	CT	False
ME_M794	0.12547559853588175	0.19569038244043702	0.07431497904664783	0.44464376654203935	-0.03347507705982847	0.7308977311809165	-0.03012642149507814	0.7569335046786297	0.10374977015622416	0.2852770867249079	0.12547559853588175	794	CT	False
ME_M795	0.0825963608586553	0.3954185949676542	0.14900267460610161	0.12378771374568504	-0.03952024803941237	0.6846793206432723	-0.05634762587463533	0.5624351601376534	0.10187088596500075	0.29413831728988377	0.14900267460610161	795	CT	False
ME_M798	0.14505421790685005	0.1341746625868335	0.11670978792179877	0.22902042039604725	0.00493795134030036	0.9595487437873912	-0.057645307590786184	0.5534556782023912	0.17148907550466003	0.07596393839773538	0.17148907550466003	798	CT	False
ME_M799	0.1351124282406305	0.16325938487791694	0.1731965349182376	0.07304653010482834	0.03773623380269907	0.6982074986264535	-0.08733531612011806	0.36877359660184234	0.1219913426442471	0.20849210591545622	0.1731965349182376	799	CT	False
ME_M802	0.061494286326483745	0.5272367072048827	-0.10678295174502903	0.27135106776044415	0.1431365267335175	0.13945316831823934	-0.005455620918262924	0.9553122071753665	0.00012375169525696839	0.9989858089549252	0.1431365267335175	802	CT	False
ME_M805	-0.03708481584554498	0.7031711265194671	-0.008581477678409437	0.9297612588285368	0.02488817583976877	0.7982014400195506	-0.0173623698959429	0.8584489785536685	0.00568159633225135	0.9534632386476003	0.03708481584554498	805	CT	False
ME_M807	0.011709491105073674	0.9042639422035897	0.09675778868905484	0.3191648652468299	-0.04674136451381229	0.6309707795913593	0.00819212961961134	0.932940459406177	0.024880312322732905	0.7982638418119951	0.09675778868905484	807	CT	False
ME_M808	0.025216431132358694	0.795597672916618	0.1670571217444441	0.08397519188514392	-0.01009977328446673	0.9173747092211052	-0.017977826234958902	0.8534863365582777	0.016996013210423593	0.8614056749408667	0.1670571217444441	808	CT	False
