Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_type
ME_M59	-0.026738709241370024	0.6648008452141696	0.006193657985854391	0.9200666364560094	-0.11748035080872368	0.056130621642969766	0.015821351477879275	0.7976794557875717	0.024730204541156493	0.6886139342462496	0.11748035080872368	CT
ME_M91	0.1169349181393284	0.05729011017211348	-0.06684367323175706	0.27827377728847186	0.0351348008949158	0.5690676172164649	0.049593151417457425	0.4213990071864357	0.025775680367020326	0.6761785069527841	0.1169349181393284	CT
ME_M396	-0.1162900990004464	0.05868635135004578	0.0756793908779037	0.2194811077686478	-0.10464807981978894	0.08909982383815092	-0.10600990777237652	0.08499436220466564	0.04949299011063845	0.42233856460938596	0.1162900990004464	CT
ME_M1046	0.11305948373529076	0.06611089168813149	-0.08888334725059878	0.14903920344714308	0.056481481633021746	0.3597525247970069	0.038321708742908925	0.5345263218891276	-0.0029447713022560038	0.96194665119271	0.11305948373529076	TS
ME_M1904	-0.05286609378448338	0.3913736227222237	0.1007756884902016	0.10164635268939994	-0.11285207022100859	0.06661273440341596	0.07176752444424367	0.24431471300695345	0.01626144652883376	0.7921781628113429	0.11285207022100859	CT
ME_M1198	0.11194268401048506	0.06884996729544945	-0.09890903791919177	0.10817451854801056	0.011943745622727778	0.8465534081411206	-0.02715542967865142	0.659901029579508	0.0329594981839197	0.5932373817093167	0.11194268401048506	CT
ME_M1650	0.11187471719697503	0.06901961271778295	-0.08238443530465181	0.18120450141470973	0.03277733129864839	0.5952824744740293	-0.03417930624157946	0.5796264516619098	-0.0044140594604511335	0.9429868122109404	0.11187471719697503	CT
ME_M1640	0.11145264589267143	0.07008076297728967	-0.09258375129529282	0.13277198956335298	0.09476704474411451	0.12383646138972328	0.06718253974235337	0.2758390792861799	-0.06843972599478686	0.26693289415729876	0.11145264589267143	CT
ME_M1196	0.11085438426214464	0.07160765242001632	-0.08135179623433755	0.1867548212000831	0.06739086072664638	0.274349520932738	0.08227302261354011	0.18179740605919872	-0.0353861703150264	0.566305075513793	0.11085438426214464	CT
ME_M1572	0.011365584790523225	0.8538960684488243	0.11046896299555586	0.0726056052798868	0.01533552164633907	0.803764057348741	-0.06926528620029991	0.2611925707397851	0.07503192761305345	0.22346194056789992	0.11046896299555586	CT
ME_M1639	0.04721838550201368	0.4440018149436169	-0.10957736706079337	0.07495758538529866	0.08282526903134158	0.17887251030316986	-0.0016524481093737366	0.978640978321693	-0.015355786031172965	0.8035100241278829	0.10957736706079337	CT
ME_M736	-0.09343588640736238	0.12922715795435982	0.08117122749446778	0.18773804917000464	-0.10951300647559312	0.075129731774639	-0.06693991476980142	0.27758082438396814	0.03017942535350761	0.6247889923393988	0.10951300647559312	CT
ME_M1304	0.10894745801726921	0.07665625509096316	-0.06757240286776255	0.2730559023100763	0.10895204754613008	0.07664376664218411	0.050261801516264956	0.41515808087862804	-0.06229048224697537	0.3123978409701239	0.10895204754613008	CT
ME_M1564	-0.04024316968777577	0.5142213577881752	0.039238550742717974	0.5247876678934054	-0.10803796331560604	0.07916379933981973	-0.023451700567345968	0.7039353230773026	0.012645677720135914	0.8376566809599565	0.10803796331560604	CT
ME_M1582	-0.10734410143865385	0.08112109501861689	0.05208311194358615	0.3984364756047868	-0.03968759691784835	0.5200510957266486	0.09230809928088593	0.13393456936961418	-0.039624640867212006	0.5207138372742607	0.10734410143865385	TS
ME_M70	0.04031599605954213	0.5134596886878826	-0.09990297962581138	0.10465853581099517	0.031814117273940706	0.6061487472051083	0.01202343588249286	0.8455423624531753	-0.10705787086317317	0.08193981154886812	0.10705787086317317	CT
ME_M1901	0.019584236931181165	0.75099197807687	0.10669318084184162	0.08299258865221515	-0.03384133480272379	0.5833830106281741	-0.0104899746001509	0.8650401435165503	0.012539710601736467	0.8389984819574515	0.10669318084184162	CT
ME_M1905	0.01848843616881894	0.764503046173883	-0.02858415934519868	0.643212844313248	0.09046802270182987	0.14189674534697538	-0.10607341422523839	0.08480668699048986	-0.04180937995360161	0.4979705587082399	0.10607341422523839	CT
ME_M1632	0.08838078636900312	0.15136041716839974	0.044870788612896624	0.4670073079330524	-0.01038809563223695	0.8663385573815401	0.04492111239489602	0.46650735920822367	-0.1053844725365093	0.0868605511531386	0.1053844725365093	CT
ME_M1314	0.06185614263251229	0.31579047393866044	-0.10054232617268292	0.10244500625730849	0.10423184188660048	0.0903858598263982	0.016604342958312417	0.7878989798661367	-0.032030920999053525	0.6036952402215185	0.10423184188660048	CT
ME_M1533	-0.08282791501006834	0.1788585805194792	0.08781986613416311	0.15398340251024714	-0.10249229025182624	0.09592199151945358	-0.06268232110604532	0.30935774425178475	0.10235497169390145	0.09637025628046071	0.10249229025182624	CT
ME_M2394	0.004923652420114076	0.9364179239822408	-0.046070273222481015	0.45517158049996753	0.07566871347230093	0.2195463430621798	-0.007321430908700563	0.9055744895657805	-0.10223888039876039	0.0967505250441254	0.10223888039876039	TS
ME_M1269	0.10009727920917001	0.10398187864904843	-0.0303898749304228	0.622375484489594	0.0648033095978522	0.29324034548459316	0.06618467330094235	0.28305011171819905	-0.043716150866244134	0.4785590204039843	0.10009727920917001	TS
ME_M1547	-0.05548973922739525	0.36826353916786697	0.10009263973313859	0.10399799546204941	0.06458660781376453	0.29486088016454126	-0.09437125982492922	0.12542069215672855	0.07397512657134299	0.2300693581469563	0.10009263973313859	CT
ME_M1563	0.013749052095524503	0.8237138658854677	0.031065757199496887	0.6146515890436444	-0.09927667360252898	0.10686336050692606	0.06412684833376937	0.2983187669940226	0.07473005316489024	0.2253354203685588	0.09927667360252898	CT
ME_M1396	0.09798442097898231	0.11152810526027436	-0.08625915522043355	0.16146231026701943	0.04430013425618761	0.47269717816207496	0.05128587019028778	0.4057058214835593	-0.07080366614935105	0.25072358441877607	0.09798442097898231	TS
ME_M374	0.006572936832579618	0.9151896259953475	0.00508375865658179	0.93435494770712	-0.013588118144597358	0.8257441788786106	-0.09678489269457867	0.11599971564159872	0.07169820637298797	0.2447717689719791	0.09678489269457867	CT
ME_M1806	0.04698632158499647	0.44624689080044744	0.011513254730100876	0.8520194323916589	-0.04857217540264895	0.4310332335575686	0.09669042423633561	0.11635774294882817	0.032029035153945534	0.6037165626592175	0.09669042423633561	CT
